"nr","pealkiri","esitaja","liik","aasta","taktsagedus","elavus","tantsitavus","valjusus","publik","rõõmsus","pikkus","akustilisus","kõne","menukus"
935,"I'll Have To Say I Love You In A Song","Jim Croce","adult standards",1973,134,51,51,-14,11,70,"152",78,3,53
936,"The Jean Genie - 2013 Remaster","David Bowie","album rock",1973,128,57,58,-9,36,82,"248",38,3,64
939,"Don't Let Me Down - Remastered 2009","The Beatles","british invasion",1973,77,29,59,-11,9,73,"216",57,3,68
940,"Let's Get It On","Marvin Gaye","other",1973,168,60,54,-11,8,64,"291",4,5,69
943,"Killer Queen - 2011 Mix","Queen","glam rock",1974,117,65,54,-6,14,61,"180",38,6,67
945,"Waterloo","ABBA","europop",1974,148,93,44,-5,24,78,"169",42,5,58
947,"Dreamer","Supertramp","album rock",1974,148,41,66,-14,8,83,"213",86,7,59
948,"You Are So Beautiful","Joe Cocker","album rock",1974,83,18,30,-11,13,9,"160",85,3,57
953,"I Will Always Love You","Dolly Parton","other",1974,136,14,45,-13,10,16,"176",96,3,61
954,"Thank God I'm a Country Boy","John Denver","adult standards",1974,106,54,76,-10,6,96,"193",79,5,64
955,"The Air That I Breathe - 2008 Remaster","The Hollies","adult standards",1974,168,47,28,-8,16,25,"257",24,3,66
959,"Fox On The Run","Sweet","album rock",1974,128,64,51,-12,9,83,"208",17,4,55
961,"Mandy","Barry Manilow","adult standards",1974,104,46,31,-9,14,32,"213",42,3,69
962,"Can't Get It out of My Head","Electric Light Orchestra","album rock",1974,169,38,23,-14,13,33,"261",75,3,51
963,"The Way We Were","Barbra Streisand","adult standards",1974,138,32,26,-12,13,17,"211",89,3,59
965,"Love Of My Life - Remastered 2011","Queen","glam rock",1975,79,18,33,-12,12,26,"217",94,3,62
970,"One of These Nights - 2013 Remaster","Eagles","album rock",1975,110,61,66,-10,8,77,"292",6,3,69
971,"Mamma Mia","ABBA","europop",1975,138,75,75,-7,44,83,"215",29,3,63
976,"Lyin' Eyes - 2013 Remaster","Eagles","album rock",1975,133,67,67,-10,16,87,"382",20,2,65
977,"You're My Best Friend - Remastered 2011","Queen","glam rock",1975,119,76,52,-7,7,58,"171",16,5,61
979,"Love Hurts","Nazareth","album rock",1975,80,33,49,-12,33,14,"233",1,3,58
981,"Sailing","Rod Stewart","adult standards",1975,129,37,43,-10,32,19,"278",37,3,68
984,"50 Ways to Leave Your Lover","Paul Simon","classic rock",1975,102,37,82,-13,8,29,"217",17,8,69
986,"Crazy On You","Heart","album rock",1975,130,46,43,-12,13,38,"293",12,3,65
988,"Make Me Smile (Come up and See Me) - 2014 Remaster","Steve Harley","other",1975,141,82,57,-8,9,77,"239",1,3,63
993,"Take It to the Limit - 2013 Remaster","Eagles","album rock",1975,91,42,44,-9,13,45,"287",9,2,63
994,"Fame - 2016 Remaster","David Bowie","album rock",1975,95,56,79,-10,8,67,"261",45,5,60
996,"Show Me The Way","Peter Frampton","album rock",1975,130,73,70,-8,10,64,"243",43,3,66
999,"Still Crazy After All These Years","Paul Simon","classic rock",1975,37,25,27,-12,9,13,"207",80,4,61
1001,"Somebody To Love - 2011 Mix","Queen","glam rock",1976,112,69,50,-7,22,36,"296",19,6,70
1004,"Hurricane","Bob Dylan","album rock",1976,136,83,51,-8,12,74,"513",4,8,69
1007,"New Kid in Town - 2013 Remaster","Eagles","album rock",1976,107,43,65,-10,11,65,"305",38,3,64
1009,"Wild Is the Wind - 2016 Remaster","David Bowie","album rock",1976,98,58,52,-13,5,49,"366",2,3,53
1011,"Fernando","ABBA","europop",1976,111,53,35,-9,8,47,"256",58,3,56
1015,"New York State of Mind","Billy Joel","album rock",1976,121,37,51,-9,32,20,"362",50,3,61
1016,"Golden Years - 2016 Remaster","David Bowie","album rock",1976,108,70,68,-10,11,93,"243",32,4,60
1017,"Isn't She Lovely","Stevie Wonder","adult standards",1976,119,83,48,-7,32,82,"394",18,9,67
1018,"I Wish","Stevie Wonder","adult standards",1976,106,72,82,-10,7,89,"252",8,5,64
1019,"Tom Traubert's Blues (Four Sheets To The Wind In Copenhagen)","Tom Waits","other",1976,135,28,30,-13,17,33,"399",80,3,52
1021,"Livin' Thing","Electric Light Orchestra","album rock",1976,123,65,55,-7,12,37,"212",58,3,70
1025,"Blinded By The Light","Manfred Mann's Earth Band","album rock",1976,142,70,46,-10,9,51,"428",29,7,61
1026,"Cocaine","J.J. Cale","other",1976,104,41,79,-15,14,39,"169",41,5,59
1033,"Go Your Own Way - 2004 Remaster","Fleetwood Mac","album rock",1977,135,94,59,-5,7,83,"224",2,4,73
1036,"Whole Lotta Rosie","AC/DC","album rock",1977,159,84,29,-4,10,42,"334",0,8,65
1037,"We Will Rock You - Remastered","Queen","glam rock",1977,81,50,69,-7,26,47,"122",68,12,70
1040,"We Are The Champions - Remastered 2011","Queen","glam rock",1977,64,46,27,-7,12,17,"179",38,3,66
1044,"Bat Out of Hell","Meat Loaf","album rock",1977,172,84,20,-8,29,39,"590",28,7,60
1045,"Solsbury Hill","Peter Gabriel","album rock",1977,102,63,68,-9,31,48,"261",36,3,60
1048,"Lust For Life","Iggy Pop","alternative rock",1977,104,97,39,-6,10,69,"314",3,4,68
1051,"Psycho Killer - 2005 Remaster","Talking Heads","alternative rock",1977,123,52,72,-8,13,94,"261",7,6,73
1053,"Songbird - 2004 Remaster","Fleetwood Mac","album rock",1977,184,9,39,-15,10,36,"201",98,3,56
1055,"Don't Stop - 2004 Remaster","Fleetwood Mac","album rock",1977,119,72,67,-8,4,83,"193",4,4,67
1059,"Take A Chance On Me","ABBA","europop",1977,107,69,69,-8,20,93,"244",17,3,63
1060,"Give A Little Bit","Supertramp","album rock",1977,91,82,53,-5,26,47,"248",7,5,74
1061,"Sound and Vision - 2017 Remaster","David Bowie","album rock",1977,106,80,67,-9,6,76,"184",3,4,62
1063,"You Took The Words Right Out of My Mouth (Hot Summer Night)","Meat Loaf","album rock",1977,125,68,46,-9,50,68,"304",25,8,57
1064,"Two Out of Three Ain't Bad","Meat Loaf","album rock",1977,80,48,59,-9,9,49,"324",39,2,60
1067,"One Love / People Get Ready - Medley","Bob Marley & The Wailers","other",1977,76,52,73,-10,7,95,"173",8,32,74
1068,"Cold as Ice","Foreigner","album rock",1977,133,49,52,-12,14,47,"201",10,3,68
1074,"La vie en rose","Grace Jones","art rock",1977,177,48,65,-16,6,80,"448",23,6,58
1076,"Le Freak - 2018 Remaster","CHIC","disco",1977,119,64,91,-11,6,90,"331",3,6,69
1077,"Lovely Day","Bill Withers","other",1977,98,65,69,-8,11,71,"255",29,3,72
1079,"Just the Way You Are","Billy Joel","album rock",1977,139,45,59,-9,13,51,"291",70,4,68
1081,"You Make Loving Fun - 2004 Remaster","Fleetwood Mac","album rock",1977,127,60,62,-9,10,86,"217",1,3,58
1082,"Sultans of Swing","Dire Straits","album rock",1978,148,87,73,-7,32,92,"350",6,3,66
1084,"Laat Me","Ramses Shaffy","dutch cabaret",1978,102,33,34,-14,15,35,"305",65,3,50
1085,"Wuthering Heights","Kate Bush","art pop",1978,125,39,48,-11,12,52,"269",37,3,68
1089,"The Man with the Child in His Eyes","Kate Bush","art pop",1978,90,26,25,-11,14,20,"159",96,3,53
1090,"Badlands","Bruce Springsteen","classic rock",1978,123,78,61,-8,28,85,"242",9,5,58
1092,"Dreadlock Holiday","10cc","album rock",1978,105,38,84,-13,20,89,"268",54,6,67
1097,"So Lonely","The Police","album rock",1978,77,57,54,-8,9,73,"290",1,16,66
1099,"Miss You - Remastered","The Rolling Stones","album rock",1978,110,71,80,-5,34,85,"289",44,4,67
1101,"Is This Love","Bob Marley & The Wailers","other",1978,122,56,78,-8,7,76,"232",11,10,76
1102,"Because the Night","Patti Smith","art pop",1978,123,80,44,-5,10,52,"205",5,4,66
1105,"Rivers of Babylon","Boney M.","disco",1978,115,85,73,-7,44,74,"261",13,4,65
1106,"Don't Look Back","Boston","album rock",1978,122,72,36,-10,36,47,"360",2,4,55
1107,"Beast Of Burden - Remastered","The Rolling Stones","album rock",1978,101,88,78,-4,4,89,"265",39,3,74
1108,"Honesty","Billy Joel","album rock",1978,135,27,55,-15,11,21,"234",42,3,59
1109,"Born to Be Alive - Original Mix 79","Patrick Hernandez","disco",1978,131,87,70,-6,21,81,"188",8,3,66
1110,"Fire","The Pointer Sisters","dance pop",1978,118,62,65,-9,8,64,"211",20,3,56
1117,"The Logical Song - Remastered 2010","Supertramp","album rock",1979,120,76,63,-6,15,70,"251",51,5,72
1119,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","europop",1979,120,49,75,-10,22,53,"293",2,4,64
1123,"Chiquitita","ABBA","europop",1979,84,56,53,-8,30,38,"327",70,3,56
1126,"Bright Eyes","Art Garfunkel","adult standards",1979,113,21,38,-16,8,21,"239",75,3,57
1127,"Take The Long Way Home - 2010 Remastered","Supertramp","album rock",1979,77,70,41,-9,11,37,"309",22,3,64
1128,"Breakfast In America - Remastered","Supertramp","album rock",1979,75,66,53,-6,7,76,"159",43,3,70
1131,"Boys Don't Cry - Single Version","The Cure","dance rock",1979,169,84,47,-6,11,69,"158",0,6,63
1133,"September Morn","Neil Diamond","adult standards",1979,129,23,42,-17,22,20,"232",63,4,59
1136,"London Calling - Remastered","The Clash","classic rock",1979,134,80,65,-7,8,78,"200",12,5,73
1138,"Goodbye Stranger - 2010 Remastered","Supertramp","album rock",1979,125,67,42,-7,6,34,"351",61,5,66
1139,"Walking On The Moon","The Police","album rock",1979,146,34,51,-13,21,27,"301",0,5,64
1140,"Don't Bring Me Down","Electric Light Orchestra","album rock",1979,116,87,64,-6,8,81,"243",14,3,70
1141,"Tragedy","Bee Gees","adult standards",1979,118,53,67,-11,30,81,"303",9,3,64
1142,"Off the Wall","Michael Jackson","pop",1979,119,60,83,-14,8,92,"246",18,6,62
1153,"The River","Bruce Springsteen","classic rock",1980,117,54,59,-11,31,59,"302",18,3,66
1155,"The Winner Takes It All","ABBA","europop",1980,127,79,46,-7,8,52,"295",55,4,59
1157,"Another One Bites The Dust - Remastered 2011","Queen","glam rock",1980,110,53,93,-6,16,76,"215",11,16,74
1160,"Redemption Song","Bob Marley & The Wailers","other",1980,116,26,67,-11,7,69,"234",61,4,71
1162,"Crazy Little Thing Called Love - Remastered 2011","Queen","glam rock",1980,77,76,60,-7,35,72,"163",71,4,66
1171,"Ashes to Ashes - 2017 Remaster","David Bowie","album rock",1980,120,74,71,-11,26,87,"266",27,5,62
1175,"Everybody Needs Somebody to Love","The Blues Brothers","other",1980,194,93,49,-4,37,92,"203",61,7,63
1176,"Super Trouper","ABBA","europop",1980,118,63,76,-8,17,96,"255",46,3,60
1180,"The Spirit Of Radio","Rush","album rock",1980,136,92,37,-7,42,63,"296",1,5,63
1182,"Hungry Heart","Bruce Springsteen","classic rock",1980,110,89,64,-7,16,97,"199",9,3,69
1186,"Late in the Evening","Paul Simon","classic rock",1980,119,88,72,-9,9,96,"243",20,4,58
1187,"Enola Gay - Remastered","Orchestral Manoeuvres In The Dark","art rock",1980,143,76,56,-7,8,93,"214",0,3,65
1188,"Master Blaster (Jammin')","Stevie Wonder","adult standards",1980,131,42,88,-15,18,97,"308",4,5,61
1189,"Don't Stand So Close To Me","The Police","album rock",1980,140,51,80,-9,4,52,"243",5,6,67
1197,"One Of Us","ABBA","europop",1981,82,40,65,-15,7,86,"237",48,4,59
1198,"Waiting On A Friend - Remastered 2009","The Rolling Stones","album rock",1981,117,79,61,-6,57,91,"274",16,3,58
1200,"Memory","Barbra Streisand","adult standards",1981,76,24,18,-15,11,12,"235",42,4,56
1207,"Under Pressure - Remastered","Queen","glam rock",1982,114,71,67,-8,10,47,"248",42,5,72
1208,"Old and Wise","The Alan Parsons Project","album rock",1982,112,32,38,-12,12,12,"295",73,3,58
1210,"Billie Jean","Michael Jackson","pop",1982,117,65,92,-3,4,85,"294",2,4,81
1211,"Run to the Hills - 2015 Remaster","Iron Maiden","album rock",1982,174,94,25,-5,16,46,"234",3,7,60
1213,"Eye In The Sky","The Alan Parsons Project","album rock",1982,112,42,82,-13,8,52,"276",56,3,67
1217,"Belgie ... (Is Er Leven Op Pluto ...)","Het Goede Doel","dutch pop",1982,141,66,58,-14,7,66,"361",1,4,52
1218,"1999","Prince","other",1982,119,73,87,-8,8,63,"379",14,8,68
1219,"Islands In the Stream","Dolly Parton","other",1982,204,41,62,-12,9,74,"252",68,4,65
1226,"Always On My Mind","Willie Nelson","other",1982,73,26,52,-14,14,20,"213",76,3,63
1227,"Sexual Healing","Marvin Gaye","other",1982,94,60,81,-10,6,75,"239",12,6,71
1229,"Human Nature","Michael Jackson","pop",1982,93,51,62,-10,26,69,"246",54,3,65
1230,"Save a Prayer - 2009 Remaster","Duran Duran","dance rock",1982,114,71,57,-9,16,67,"333",35,3,62
1232,"P.Y.T. (Pretty Young Thing)","Michael Jackson","pop",1982,127,82,89,-5,13,96,"239",23,4,71
1234,"It's Raining Again","Supertramp","album rock",1982,121,67,60,-7,26,56,"264",62,3,60
1240,"99 Luftballons","Nena","other",1983,95,56,57,-7,11,50,"232",10,5,73
1243,"Let's Dance - 2018 Remaster","David Bowie","album rock",1983,115,74,65,-7,15,63,"458",1,6,71
1244,"China Girl - 2002 Remaster","David Bowie","album rock",1983,134,63,65,-10,11,87,"257",2,3,57
1245,"Owner of a Lonely Heart","Yes","album rock",1983,125,80,74,-6,26,89,"269",18,4,70
1247,"Our House","Madness","dance rock",1983,122,65,60,-11,13,71,"201",3,6,58
1250,"Hello","Lionel Richie","adult standards",1983,61,25,49,-14,10,6,"251",41,4,59
1253,"I Heard It Through The Grapevine","Marvin Gaye","other",1983,117,35,72,-11,11,64,"197",20,4,71
1257,"Theme from Harry's Game","Clannad","other",1983,132,7,19,-24,11,4,"148",95,4,38
1258,"Nur geträumt","Nena","other",1983,177,80,54,-9,8,89,"220",7,3,56
1260,"Here Comes the Rain Again - Remastered Version","Eurythmics","dance pop",1983,126,76,65,-8,23,61,"295",1,3,62
1264,"Karma Chameleon - Remastered","Culture Club","dance pop",1983,92,73,67,-7,19,89,"253",23,4,72
1271,"Radio Ga Ga - 2011 Mix","Queen","glam rock",1984,112,50,74,-8,19,66,"348",18,4,66
1275,"Pride (In The Name Of Love) - Remastered 2009","U2","irish rock",1984,106,84,46,-7,78,71,"228",0,3,59
1276,"Fade To Black (Remastered)","Metallica","alternative metal",1984,113,93,26,-7,11,28,"417",0,11,62
1279,"When Doves Cry","Prince","other",1984,126,99,73,-5,44,84,"353",1,5,70
1283,"My Hometown","Bruce Springsteen","classic rock",1984,117,34,65,-12,7,39,"280",49,4,58
1284,"Slippery People - Live","Talking Heads","alternative rock",1984,111,85,64,-8,68,84,"241",22,4,54
1287,"Private Dancer - 2015 Remaster","Tina Turner","disco",1984,115,57,59,-10,9,47,"434",36,4,59
1288,"Easy Lover","Philip Bailey","other",1984,129,92,74,-5,8,93,"306",11,4,64
1291,"Glory Days","Bruce Springsteen","classic rock",1984,117,96,57,-5,12,98,"255",5,3,67
1295,"I Would Die 4 U","Prince","other",1984,135,75,73,-10,20,64,"179",9,3,60
1297,"Let's Go Crazy","Prince","other",1984,196,93,31,-6,11,38,"280",2,13,62
1300,"Run To You","Bryan Adams","album rock",1984,127,81,56,-6,29,64,"233",1,3,65
1301,"Perhaps Love","John Denver","adult standards",1984,81,25,39,-11,10,20,"177",79,4,59
1302,"Don't Answer Me","The Alan Parsons Project","album rock",1984,115,78,62,-9,22,63,"252",7,3,57
1305,"Relax","Frankie Goes To Hollywood","art rock",1984,115,70,68,-13,5,69,"237",33,4,61
1306,"Two Tribes","Frankie Goes To Hollywood","art rock",1984,130,62,54,-13,37,20,"208",0,4,54
1307,"Dancing with Tears in My Eyes","Ultravox","art rock",1984,144,91,59,-8,60,93,"244",15,4,59
1308,"That Was Yesterday","Foreigner","album rock",1984,115,68,43,-7,21,51,"229",5,3,54
1312,"Jeanny","Falco","other",1985,106,66,65,-10,19,45,"356",45,5,58
1313,"Money for Nothing","Dire Straits","album rock",1985,134,66,67,-9,6,66,"506",5,4,62
1314,"Kronenburg Park","Frank Boeijen Groep","dutch cabaret",1985,90,55,50,-13,10,45,"244",45,3,53
1315,"Walk of Life","Dire Straits","album rock",1985,172,94,46,-7,12,80,"252",44,11,61
1318,"Alive And Kicking","Simple Minds","art rock",1985,103,91,57,-4,13,56,"289",8,4,64
1319,"Holding Back the Years - 2008 Remaster","Simply Red","british soul",1985,86,51,71,-9,10,52,"270",58,3,68
1321,"Cloudbusting","Kate Bush","art pop",1985,113,25,68,-17,8,81,"310",70,3,60
1323,"Nikita","Elton John","glam rock",1985,87,66,63,-9,7,75,"343",12,3,68
1326,"Russians","Sting","other",1985,116,28,44,-18,18,20,"238",46,4,50
1327,"Dancing in the Street - 2002 Remaster","David Bowie","album rock",1985,131,82,60,-14,13,74,"205",12,4,57
1330,"Road to Nowhere","Talking Heads","alternative rock",1985,110,71,66,-8,15,63,"259",4,3,55
1336,"Josephine","Chris Rea","art rock",1985,110,47,66,-16,5,66,"238",2,3,57
1338,"In Between Days - 2006 Remaster","The Cure","dance rock",1985,143,83,54,-6,17,71,"178",11,3,54
1339,"I Got You Babe","UB40","other",1985,174,61,76,-13,11,86,"189",8,7,65
1340,"Moon Over Bourbon Street","Sting","other",1985,125,6,41,-22,10,18,"240",67,4,51
1344,"Take Me Home - 2016 Remaster","Phil Collins","other",1985,119,81,62,-8,5,58,"354",47,5,56
1345,"Master of Puppets (Remastered)","Metallica","alternative metal",1986,105,83,54,-9,15,56,"515",0,4,67
1348,"Graceland","Paul Simon","classic rock",1986,118,71,73,-9,8,85,"291",63,3,65
1354,"I Want You","Elvis Costello & The Attractions","art rock",1986,123,13,50,-18,36,21,"401",35,8,51
1357,"Land of Confusion - 2007 Remaster","Genesis","album rock",1986,115,91,63,-7,23,81,"287",4,4,56
1358,"Life's What You Make It - 1997 Remaster","Talk Talk","art rock",1986,92,80,53,-8,4,94,"269",0,3,59
1363,"Diamonds on the Soles of Her Shoes","Paul Simon","classic rock",1986,111,68,79,-10,22,88,"349",78,4,63
1371,"Anne","Herman van Veen","dutch pop",1986,115,8,67,-27,17,28,"228",67,4,42
1372,"You Can Leave Your Hat On","Joe Cocker","album rock",1986,174,54,65,-13,19,90,"255",12,3,58
1373,"Living in Another World - 1997 Remaster","Talk Talk","art rock",1986,111,86,56,-8,23,94,"418",0,3,53
1374,"Fire - Live at the Winterland, San Francisco, CA - December 1978","Bruce Springsteen","classic rock",1986,120,32,43,-21,98,52,"193",20,17,41
1375,"Sledgehammer - 2012 Remaster","Peter Gabriel","album rock",1986,96,68,64,-8,4,47,"312",4,4,57
1376,"Don't Leave Me This Way (with Sarah Jane Morris)","The Communards","dance rock",1986,132,93,64,-6,13,90,"271",14,3,64
1381,"In Your Eyes - 2012 Remaster","Peter Gabriel","album rock",1986,89,65,62,-9,7,63,"330",6,4,54
1382,"Fight For Your Right","Beastie Boys","alternative rock",1986,134,86,50,-6,8,42,"209",1,7,68
1383,"Homeless (with Ladysmith Black Mambazo)","Paul Simon","classic rock",1986,91,27,40,-16,26,29,"228",88,7,49
1384,"Live to Tell","Madonna","dance pop",1986,110,31,67,-14,11,27,"353",41,3,56
1385,"West End Girls - 2001 Remaster","Pet Shop Boys","art pop",1986,113,95,65,-7,29,61,"286",1,4,68
1386,"Invisible Touch - 2007 Remaster","Genesis","album rock",1986,131,88,66,-6,7,84,"210",34,3,60
1387,"Over De Muur","Klein Orkest","dutch indie",1987,96,32,61,-15,14,29,"209",63,5,55
1390,"Where The Streets Have No Name - Remastered","U2","irish rock",1987,126,72,49,-10,16,29,"338",1,4,66
1397,"Tougher Than the Rest","Bruce Springsteen","classic rock",1987,99,51,60,-11,11,60,"274",20,2,62
1399,"Patience","Guns N' Roses","other",1987,120,30,46,-13,11,33,"355",69,3,66
1406,"Here I Go Again - 2018 Remaster","Whitesnake","album rock",1987,90,82,29,-7,16,24,"275",1,4,65
1408,"Unchain My Heart","Joe Cocker","album rock",1987,118,67,75,-13,32,70,"304",2,4,62
1409,"Non, je ne regrette rien","Édith Piaf","other",1987,87,35,39,-7,17,44,"142",86,3,64
1413,"Have A Little Faith In Me","John Hiatt","other",1987,156,41,45,-11,12,32,"245",74,3,51
1415,"The Way You Make Me Feel - 2012 Remaster","Michael Jackson","pop",1987,114,85,88,-5,14,54,"298",5,15,72
1416,"The One I Love - Remastered","R.E.M.","alternative rock",1987,128,84,49,-5,35,56,"198",0,4,63
1417,"Bad - 2012 Remaster","Michael Jackson","pop",1987,114,89,79,-4,7,39,"247",0,4,68
1418,"Apache","The Shadows","adult standards",1987,134,45,60,-13,10,78,"174",1,3,53
1421,"Seven Wonders - 2017 Remaster","Fleetwood Mac","album rock",1987,119,63,71,-10,10,63,"222",3,3,63
1422,"Lessons In Love","Level 42","art rock",1987,113,84,71,-8,30,86,"246",16,4,62
1423,"Brilliant Disguise","Bruce Springsteen","classic rock",1987,126,73,70,-12,3,95,"255",15,3,57
1424,"It's a Sin - 2001 Remaster","Pet Shop Boys","art pop",1987,127,86,54,-6,25,29,"299",25,4,66
1425,"Bullet The Blue Sky","U2","irish rock",1987,153,64,36,-10,13,45,"272",1,4,55
1426,"Wonderful Life","Black","dance rock",1987,106,52,72,-12,21,82,"288",71,3,64
1428,"Is This Love - 2018 Remaster","Whitesnake","album rock",1987,180,76,26,-7,23,43,"284",6,4,58
1435,"Dreams","Fleetwood Mac","album rock",1988,120,34,82,-16,50,79,"254",14,4,59
1436,"Sara","Fleetwood Mac","album rock",1988,127,39,74,-17,9,59,"382",38,3,56
1442,"Like The Way I Do","Melissa Etheridge","other",1988,101,84,60,-13,6,64,"324",4,4,57
1443,"Little Lies","Fleetwood Mac","album rock",1988,125,69,63,-10,16,89,"218",12,3,59
1448,"When Love Comes To Town","U2","irish rock",1988,116,67,65,-11,13,59,"254",5,4,50
1450,"Pamela","TOTO","album rock",1988,98,41,58,-16,6,53,"310",13,3,53
1451,"Orinoco Flow","Enya","other",1988,115,31,69,-17,10,56,"266",80,3,57
1454,"Living Years","Mike & The Mechanics","album rock",1988,98,42,52,-13,7,31,"330",58,3,55
1458,"Angel Of Harlem","U2","irish rock",1988,103,69,52,-11,11,93,"229",10,3,59
1459,"Handle With Care","Traveling Wilburys","album rock",1988,115,77,68,-6,25,71,"200",11,3,63
1461,"Into Temptation","Crowded House","other",1988,84,37,45,-16,8,26,"274",48,3,49
1466,"Rockin' in the Free World","Neil Young","album rock",1989,132,88,49,-5,37,52,"282",0,3,65
1468,"I Want It All - Remastered 2011","Queen","glam rock",1989,92,84,41,-6,37,39,"242",3,5,55
1469,"Ik Kan Het Niet Alleen","De Dijk","dutch indie",1989,142,85,53,-12,30,91,"239",31,4,52
1472,"Lullaby","The Cure","dance rock",1989,94,56,72,-11,6,59,"250",19,3,53
1473,"The Best","Tina Turner","disco",1989,104,74,66,-10,12,75,"330",11,3,64
1475,"Need Your Love So Bad","Fleetwood Mac","album rock",1989,147,18,36,-19,10,25,"233",13,3,49
1477,"Personal Jesus - Original Seven Inch Version","Depeche Mode","dance rock",1989,130,68,64,-12,5,71,"225",1,4,61
1479,"Woman In Chains","Tears For Fears","art rock",1989,160,61,43,-8,6,37,"391",2,3,66
1481,"I Wish It Would Rain Down - 2016 Remaster","Phil Collins","other",1989,126,67,51,-5,31,36,"328",29,3,61
1486,"Black Velvet","Alannah Myles","other",1989,91,37,75,-10,11,47,"287",27,3,71
1489,"New York Minute","Don Henley","album rock",1989,132,29,55,-12,4,12,"395",33,3,55
1490,"Something Happened on the Way to Heaven - 2016 Remaster","Phil Collins","other",1989,115,88,66,-4,27,88,"292",18,3,57
1491,"Lovesong","The Cure","dance rock",1989,140,81,61,-8,22,82,"210",34,3,60
1492,"Monkey Gone to Heaven","Pixies","alternative rock",1989,116,39,65,-12,32,60,"177",2,3,61
1495,"If I Could Turn Back Time","Cher","dance pop",1989,108,57,66,-10,12,50,"240",24,3,72
1498,"Papa","Stef Bos","other",1990,120,32,74,-13,8,29,"193",72,3,57
1499,"Enjoy the Silence - Single Mix","Depeche Mode","dance rock",1990,113,81,64,-8,8,82,"257",16,3,65
1502,"Nothing Compares 2 U","Sinéad O'Connor","other",1990,120,57,51,-7,11,16,"280",4,3,71
1503,"Silent Lucidity - Remastered/2003","Queensrÿche","album rock",1990,140,63,46,-6,12,10,"348",5,3,61
1504,"Such a Shame","Talk Talk","art rock",1990,112,68,60,-11,30,71,"258",21,3,57
1505,"Hunger Strike","Temple Of The Dog","alternative metal",1990,138,57,37,-11,9,30,"246",2,3,59
1506,"Candy","Iggy Pop","alternative rock",1990,144,59,62,-11,5,65,"253",4,3,60
1508,"Don't Go Breaking My Heart","Elton John","glam rock",1990,131,86,74,-8,7,78,"271",18,4,69
1509,"Night Fever - From ""Saturday Night Fever"" Soundtrack","Bee Gees","adult standards",1990,109,51,74,-16,14,90,"210",2,3,54
1515,"Hard To Handle","The Black Crowes","album rock",1990,104,79,59,-4,31,96,"188",0,4,68
1517,"De Boer Is De Keerl","Normaal","other",1991,85,40,52,-13,8,63,"221",21,3,51
1524,"Who Wants To Live Forever - Remastered 2011","Queen","glam rock",1991,87,40,14,-9,12,4,"295",58,4,51
1527,"The Show Must Go On - 2011 Mix","Queen","glam rock",1991,83,69,31,-7,11,18,"278",41,3,58
1529,"Come As You Are","Nirvana","alternative rock",1991,120,82,50,-6,9,54,"219",0,4,72
1533,"The Unforgiven","Metallica","alternative metal",1991,139,60,54,-10,13,25,"387",1,3,65
1535,"Lithium","Nirvana","alternative rock",1991,123,66,68,-6,6,49,"257",0,4,68
1540,"Sad But True","Metallica","alternative metal",1991,89,85,63,-6,6,43,"325",0,3,63
1541,"Year of the Cat - 2001 Remaster","Al Stewart","album rock",1991,117,61,53,-10,12,53,"401",1,3,61
1543,"(Everything I Do) I Do It For You","Bryan Adams","album rock",1991,131,37,53,-13,6,25,"394",8,3,64
1546,"Heal the World","Michael Jackson","pop",1991,81,49,53,-8,10,10,"384",54,5,68
1548,"On Every Street","Dire Straits","album rock",1991,132,27,32,-11,17,15,"302",58,4,56
1550,"Four Seasons In One Day","Crowded House","other",1991,89,26,52,-17,9,49,"170",82,3,51
1551,"Walking in Memphis","Marc Cohn","other",1991,130,51,57,-9,30,33,"253",55,4,69
1554,"In Bloom - Nevermind Version","Nirvana","alternative rock",1991,157,88,44,-5,21,51,"255",0,6,64
1559,"On the Border - 2001 Remaster","Al Stewart","album rock",1991,98,64,48,-12,8,73,"202",6,3,49
1565,"Mysterious Ways","U2","irish rock",1991,100,66,67,-8,11,70,"244",0,3,63
1566,"We Don't Need Another Hero (Thunderdome)","Tina Turner","disco",1991,99,67,69,-6,12,71,"255",20,5,61
1567,"Calling Elvis","Dire Straits","album rock",1991,120,57,61,-12,16,39,"385",9,3,54
1569,"Fear of the Dark - 2015 Remaster","Iron Maiden","album rock",1992,110,87,31,-6,23,23,"438",0,6,55
1572,"Kayleigh","Marillion","album rock",1992,106,67,56,-7,9,60,"243",2,3,58
1575,"Nightswimming","R.E.M.","alternative rock",1992,114,39,57,-11,10,57,"258",80,3,62
1580,"Man On The Moon","R.E.M.","alternative rock",1992,119,70,67,-8,20,66,"314",42,3,67
1584,"Plush - 2017 Remaster","Stone Temple Pilots","alternative metal",1992,144,94,43,-5,14,47,"314",1,4,61
1585,"Eloise","Barry Ryan","other",1992,131,59,43,-12,36,46,"345",22,3,45
1587,"Drive","R.E.M.","alternative rock",1992,143,43,47,-12,23,24,"271",18,3,62
1589,"I've Got Dreams to Remember","Otis Redding","other",1992,142,28,39,-13,14,40,"196",50,3,49
1590,"Jump Around","House Of Pain","other",1992,107,71,85,-6,17,82,"215",1,8,74
1591,"Human Touch","Bruce Springsteen","classic rock",1992,115,52,65,-14,10,45,"389",0,3,58
