"pealkiri","liik","aasta","tekst"
"Võõrliikide ohjamine vereva lemmmaltsa (Impatiens glandulifera Royle) näitel","2. Magistritööd","2013","Võõrliikide laialdane levik on kaasa toonud hulgaliselt erinevaid probleeme, mis ennekõike ohustavad kohalikku bioloogilist mitmekesisust. Tulenevalt probleemide intensiivistumisele, on hakatud järjest rohkem võõrliike ohjama. Tõhus ohjamine tugineb neljale ohjamistsükli osale: 1) probleemide ennetamine, 2) liikide varajane märkamine ja kiire reageerimine, 3) liikide tõrjumine ning 4) hilisem seire. Käesoleva töö üheks eesmärgiks oligi anda ülevaade võõrliikide ohjamisest ja selle kui protsessi olemusest. Põhjalikumalt keskenduti võõrtaimeliikide ohjamisele ning konkreetsemalt verevale lemmmaltsale.
Töö teiseks ning peamisemaks eesmärgiks oli hinnata võõrliik verev lemmmaltsa tõrje edukust ühe vegetatsiooniperioodi jooksul. Püstitatud eesmärgi saavutamiseks viidi antud võõrtaimeliigiga läbi tõrjumiskatse. Katse sooritati Viljandimaal kahes Eesti suurimas vereva lemmmaltsa metsistunud populatsioonis. Katse käigus katsetati kahte tõrjemeetodit: niitmist ja kitkumist. Katsealadele oli konstrueeritud 3x3 erinevat proovilappi, millest kolm olid niidetavad, kolm kitkutavad ja kolm kontroll ehk nulltöötlusega. Tõrje edukuse hindamiseks mõõdeti kõikidel proovilappidel erinevaid taimede parameetreid, milleks olid taimede arvukus, ohtrus, lehtede pikkus ja laius ning taimede kõrgus.
Tuginedes andmeanalüüsi tulemustele, võib väita, et vereva lemmmaltsa tõrjumine mõjutas oluliselt nii taimede elujõudu kui ka produktiivsust. Kõige rohkem mõjutas tõrjumine elujõuliste taimede keskmist arvukust. Arvukuse langus oli peale teist kontrollvaatlust madalaim niidetavatel aladel. Lisaks võis niidetavate alade puhul märgata ka seda, tõrjumine oli pärssinud elujõuliste taimede lehtede- ja kõrguskasvu, mis olid mõnevõrra väiksemad kui kitkutavatel aladel kasvavate elujõuliste taimede samad näitajad. Seega võib antud katse puhul järeldada, et kasutusel olnud tõrjemeetoditest oli mõnevõrra efektiivsem niitmine."
"Käopesa pereelamute tarkmaja lahendus ja elektrisüsteem","1. Bakalaureusetööd","2016","Käesoleva töö teema valiku puhul sai määravaks viimasel ajal üha enam populaarsust
koguma hakanud tark maja (nutimajade) kontseptsioon. Töö autoril avanes Käopesa
pereelamutesse ehitada elektrikilbid, huvist ajendatuna tekkis soov sealseid süsteeme ja
lahendusi lähemalt uurida. Autor on koostanud sarnasel teemal ka kursusetöö aines
inseneriinformaatika, kus vaadeldi Käopesa targa maja lahendusi. Käesolevas
bakalaureusetöös on uuritud tarkmaja lahendust, töös on välja toodud milliseid süsteemi
lahendusi pakub käesolev tark hoone.
Bakalaureusetöö eesmärgiks on välja selgitada kuidas on lahendatud hoonete
elektrivarustus ning teha kindlaks hoonete täpne toitekaablite magistraalvõrk, mõõta
toitekaablite rikkesilmuse näivtakistused, arvutada lühisvoolud ja leida kaitserakendus
ning leida lahendus kuidas ühendada olemas olev välisvalgustus hooneautomaatika võrku
võimalikult lihtsate ja majanduslikult soodsate vahenditega. Töös on kasutatud nii erialast
kirjandust kui ka autori poolt teostatud mõõdistuste/uurimuste tulemusi.
Töös püstitatud esimene ja teine hüpotees lükati ümber. Esitatud uurimisküsimused said
kõik vastuse. Töö tulemusena on autor loonud endale selgema pildi hetkeolukorrast ja
uutest arengusuundadest hooneautomaatika valdkonnas. Töö tulemused näitavad, et
Käopesa pereelamute süsteeme saaks muuta kasutajate jaoks mugavamaks ning
energiasäästlikumaks. Tulemusi on tutvustatud ka Käopesa pereelamute poolsele
kontaktisikule."
"Ultraviolettkiirguse mõju termiliselt töödeldud lepapuidule","1. Bakalaureusetööd","2020","Puidu omaduste parandamiseks kasutatakse erinevaid viise, millest üks on termiline töötlus.
Termilise töötluse käigus viiakse puidu temperatuur teatud aja jooksul kindlale
temperatuurile, seejuures protsessi aeg ja temperatuur sõltuvad sellest, millist töötlusastet
saada soovitakse. Selle protsessi käigus muudetakse puidu omadusi jäädavalt.
Üheks puitu kahjustavaks teguriks on ultraviolettkiirgus. Et selle mõjust teada saada
termiliselt töödeldud puidule on antud töös läbi viidud katsed termiliselt töödeldud halli
lepa ja sanglepa katsekehade kohta. Töös olid kasutuses sanglepa (Alnus glutinosa) ja halli
lepa (Alnus incana) naturaalsed katsekehad, lisaks veel mõlema puuliigi kohta kümme
erinevat termotöötlust, kokku 88 katsekeha.
Töö eesmärkideks on uurida erinevate termiliste töötlusastmetega sanglepa ja halli lepa
vastupanu ultraviolettkiirgusele ja teada saada, kas ultraviolett kiirgus mõjub kõigile
kümnele töötlusastmele sarnaselt, lisaks kas sanglepa ja halli lepa vastupanu on erinev."
"Mycoplasma bovis’e põhjustatud udaranakkuse karjasisene levimus, mõju lehma udaratervisele, piimatoodangule ja -koostisele","2. Magistritööd","2016","Subkliiniline mastiit põhjustab majanduslikku kahju alanenud piimatoodangu ning
halvenenud piimakvaliteedi tõttu. Käesoleva uurimistöö eesmärkideks oli välja selgitada
Mycoplasma bovis’e (M. bovis) põhjustatud subkliinilise mastiidi karjasisene levimus ning
hinnata M. bovis’e põhjustatud subkliinilise mastiidi mõju lehma piimatoodangule ja
piimakoostisele. Uurimistöö läbiviimiseks koguti 2014. aasta novembris ühes Eesti
lüpsikarjas kõikidelt lüpsvatelt lehmadelt (n = 522) individuaalsed piimaproovid. Igast
piimaproovist määrati somaatiliste rakkude arv, valgu-, rasva- ja karbamiidisisaldus ning
registreeriti lehma päevane piimatoodang. Polümeraasi ahelreaktsiooniga määrati
Mycoplasma bovis’e, Staphylococcus aureus’e, Streptococcus agalactiae ja Streptococcus
uberis’e esinemine piimaproovides. M. bovis’e levimus oli uurimisaluses karjas 17,2%
(95% UV 14,1 ; 20,8). M. bovis’e põhjustatud subkliinilise mastiidi esinemises ei olnud
erinevust 1. ja 2. laktatsiooni ning enam kui 3. laktatsiooni lüpsnud lehmade vahel. Samuti
ei tuvastatud uuringus erinevust subkliinilise M. bovis mastiidi esinemussageduses
erinevates laktatsioonistaadiumites. Lehmadel, kelle piimaproovis tuvastati M. bovis, oli
päeva piimatoodang keskmiselt 2,9 kg võrra väiksem võrreldes lehmadega, kelle
piimaproovis M. bovis’t ei tuvastatud. M. bovis’e esinemine piimaproovis seostus oluliselt
kõrgema piima somaatiliste rakkude arvuga (p < 0,05) ning väiksema rasva- ja
karbamiidisisaldusega. Uurimistöö tulemuste põhjalt järeldati, et subkliinilisel M. bovis
mastiidil on negatiivne mõju uurimisaluse karja udaratervisele, piimatoodangule ja -
koostisele. Järeldust, et subkliinilise M. bovis mastiidi mõju udaratervisele ja
piimatoodangule teistes Eesti piimafarmides oleks sarnane meie uuringu tulemustega, ei
saa teha ühes karjas tehtud uuringu põhjal. Käesoleva uurimistöö tulemusi saab kasutada
infoallikana edasiste M. bovis mastiiti käsitlevate uuringute planeerimisel. Et paremini
mõista M. bovis’e olulisust nakkava mastiidipatogeenina, on vaja teostada täiendavaid
epidemioloogilisi uuringuid selgitamaks, millised on antud haigustekitaja leviku- ja
ülekandeteed loomade vahel nakatunud karjas ning millised riskifaktorid mõjutavad
haiguse teket."
"Tehnoloogiliste operatsioonide tootlikkuse analüüs puidutööstusettevõttes Nelta  Trade OÜ","Rakenduskõrgharidusõppe lõputööd","2021","Käesoleva rakenduskõrgharidusõppe lõputöö eesmärgiks oli uurida tehnoloogiliste 
operatsioonide tootlikkust puidutööstusettevõttes Nelta Trade OÜ. Vaatluse alla võeti 
raamsaekaater, lintsaekaater, servamissaag, kaks nelikanthöövlit ja järkamissaag.
Tehnoloogiliste operatsioonide ühe vahetuse tootlikkused leiti operatsioone 
kronemetreerides, erialakirjanduse valemit kasutades ja varasemat dokumentatsiooni 
analüüsides. Tehnoloogiliste operatsioonide uurimiseks kasutati vastavalt olemasolevatele 
andmetele erinevaid metoodikaid. Saadud tulemuste põhjal selgitas autor välja, millised 
operatsioonid on kõige ajakulukamad ja andis enda soovitused, kuidas tootmist kiirendada.
Analüüsi tulemusel selgus, et ettevõttes kasutatava raamsaekaatri tootlikkuseks ühes 
vahetuses on keskmiselt 144 planku (780 jm) ja palkide maht 17,720 m3
. Lintsaekaatri
vahetuse keskmiseks tootlikkuseks on 129 planku (696 jm), mahuliselt on 18,815 m3
kuusepalki. Servamissaega lahatakse ühes vahetuses 576 planku (3110 jm) ning sellest 
kogusest saadakse keskmiselt 8 kuivatipakki (31,7 m3
). Nelikanthöövli +GF+ Brugg ühe 
vahetuse tootlikkus 5,4 m pikkuse materjaliga on 800 tk (4320 jm) ja Gubisch 170 BS 170/6 
ühe vahetuse tootlikkus on 1184 tk (6393,6 jm). Järkamissae ühe vahetuse tootlikkuseks on 
476 järkamise operatsiooni. Nende tulemuste analüüsi tulemusel on kõige ajakulukamaks 
tehnoloogiliseks operatsiooniks palkide lahkamine saekaatritega."
"Vasikate roojast isoleeritud Escherichia coli antibiootikumiresistentsus ja selle seos antibiootikumide kasutamise ning vasikate söötmis- ja pidamistingimustega","2. Magistritööd","2017","Mikroobide resistentsus on 21. sajandil üks kriitilisemaid probleeme nii inimeste kui ka
loomade tervishoius. Eestis ei ole varasemalt uuritud vasikate normaalmikrofloora
resistentsuse seost antibiootikumide kasutamise ning vasikate söötmis- ja
pidamistingimustega. Samuti ei ole varem uuritud, kas farmides järgitakse Eesti
Maaülikooli poolt välja antud veiste antibakteriaalse ravi soovitusi. Uurimistöö
eesmärgiks oli leida seoseid vasikate roojaproovidest isoleeritud Escherichia (E.) coli
antibiootikumiresistentsuse, antibiootikumide kasutamise ja teiste riskitegurite vahel ning
hinnata, kas veiseid ja vasikaid ravitakse Eesti Maaülikooli poolt välja antud
ravisoovituste kohaselt. Selleks koguti 2015. aasta novembrist 2016. aasta aprillini 47-st
Eesti piimaveisefarmist alla ühe kuu vanustelt vasikatelt 201 roojaproovi. Kolmelt kuni
viielt kõhulahtisusega vasikalt koguti individuaalsed roojaproovid ning kolme kuni viie
kliiniliselt terve vasika roojast üks koondproov. Proovidest isoleeriti E. coli ning
diskdifusiooni meetodil määrati tundlikkus 12 antibiootikumi suhtes.
Uuringuga tuvastati, et kõhulahtisust põdevate vasikate roojast isoleeritud resistentsete E.
coli tüvede osakaal oli suurem võrreldes kliiniliselt tervete vasikate roojast isoleeritud
tüvedega. Kõige kõrgem oli resistentsus tsiprofloksatsiini, tetratsükliini, ampitsilliini ja
sulfametoksasooli suhtes. Resistentsus tsiprofloksatsiini suhtes oli kõhulahtisusega
vasikate isolaatide hulgas 74,5% ja kliiniliselt tervete vasikate hulgas 58,1%.
Multiresistentseid isolaate esines 37,2% koondroojaproovides ja 67,4%
individuaalroojaproovides. Kui farmis joodeti vasikatele praakpiima, oli kõhulahtisusega
vasikate roojaproovidest isoleeritud E. coli hulgas multiresistentsus oluliselt kõrgem, kui
praakpiima mitte jootvate farmide vasikatel. Enrofloksatsiini kasutamine vasikate
ravimisel seostus oluliselt kõrgema E. coli tsiprofloksatsiiniresistentsusega kliiniliselt
haigete vasikate roojas. Küsitletud farmidest 51,2% kasutasid fluorokinoloone rutiinselt
vasikate kõhulahtisuse ravimiseks ning 50% mastiidi ravimiseks. Kokku kasutasid 75%
farmidest rutiinselt mõne veiste või vasikate haiguse ravimisel esmavaliku ravimina
fluorokinoloone, 82% süsteemselt manustatavaid 3. või 4. põlvkonna tsefalosporiine ja
7% kolistiini. Ükski uuringus osalenud karjadest ei järginud väljatöötanud ravisoovitusi
täiel määral. Uurimistöö tulemustest selgus, et nii kliiniliselt tervete kui ka
kõhulahtisusega vasikate roojaproovidest isoleeritud E. coli resistentsus on kõrge ning
farmides kasutatakse palju reservantibiootikume, eriti fluorokinoloone. Need tulemused
näitavad, et antibiootikumide kasutamist tuleks ohjata ning võimaldab edasiste uuringute
planeerimist kogutud info ja isolaadipanga baasil. Reservantibiootikumide kasutamise
piiramine tagab jätkusuutlikkuse antimikroobse ravi rakendamisel ning vähendab
resistentsete mikroobide ulatuslikku levikut"
"Annikoru Seemnekeskuse teraviljakuivati taastuvenergia lahendus päikeseelektrijaama näitel","1. Bakalaureusetööd","2015","Käesoleva bakalaureusetöö peamiseks eesmärgiks on päikeseenergia kasutusvõimaluste
hindamine Annikoru Seemnekeskuse teraviljakuivatis. Täiendav eesmärk on erinevate
potentsiaalsete päikeseelektrijaama lahenduste tasuvusarvutuste sooritamine.
Viljakuivati elektrienergia analüüsi tulemused näitasid, et aastas tarbitakse kuivatikomp-eksis
keskmiselt 200 MW∙h elektrienergiat. See tõi selgelt välja asjaolu, et kuivati näol on tegu
suure elektrienergia tarbijaga. On mõistetav, et tarbimise osaline katmine päikese-energia
tootmise arvelt vähendaks kulutusi elektrienergiale ning aitaks kaudselt vähendada ka
fossiilsete kütuste tarbimist.
Päikesepaneelide paigutusvõimalusi analüüsides leiti, et paneelide paigutamiseks maaüksusel
on 3 erinevat võimalust, kuid neist üks jäeti valikust välja. Kokkuvõtvalt jõuti tulemuseni, et
kompleks ning selle lähiümbrus on päikesepaneelide paigaldamiseks sobilik. Ehk teisisõnu on
kuivatikompleksil hea potentsiaal päikeseenergia tootmiseks.
Tasuvusarvutuste tulemused näitasid, et erinevate päikeseelektrijaama lahenduste puhul jäid
tasuvusajad vahemikku 7…11 aastat. Tulemustest järeldati, et peamiseks tasuvusaega
määravaks teguriks on süsteemi algne ehitusmaksumus ning installeeritud võimsus nii suurt
efekti ei oma."
"Majandustarkvara valikuvõimalused jaekaubandusettevõtetele","1. Bakalaureusetööd","2016","Bakalaureusetöö eesmärk on välja selgitada majandustarkvarade valikuvõimalused
jaekaubandusettevõtetele, mis aitaksid parandada ettevõtte tööd. Tuues näitena äriühingu,
võib öelda, et ettevõtte peamiseks sihtmärgiks on teenida kasumit, pakkudes teatud toodet
või teenust. Ettevõtte peamisteks huvideks on hoida tulud ja kulud kontrolli all, millest
tulenevalt tekib ootus ka majandustarkvara järele.
Töös on kasutatud erialakirjandust ja teaduslikke artikleid, mis võimaldavad luua
raamistiku, kuidas jaekaubandusettevõtte majandustarkvara vajadusi analüüsida. Seejärel
tutvus autor eelnevalt koostatud kolme magistritööga, mille põhjal valis kümme enim esile
toodud majandustarkvara, mis sobisid jaekaubandusettevõtetele. Majandustarkvarade
pakkujatele koostas autor hinnapakkumise päringu, et selgitada majandustarkvarade
valikuvõimalused jaekaubandusettevõtetele.
Bakalaureusetöö koosneb kahest peatükist, millest esimene peatükk annab ülevaate
majandustarkvara olemusest, valikut mõjutavatest teguritest ja majandustarkvara
funktsionaalsusest ning selgitab, millistest osadest ehk moodulitest tarkvara koosneb.
Lisaks on antud ülevaade ettevõtete jagunemisest ja majandustarkvarade pakkujatest.
Uurimustöö teises osas on koostatud majandustarkvarade analüüs töös kasutatud
hinnapakkumise päringule vastanud ettevõtete põhjal. Majandustarkvarad on jaotatud
kahte gruppi: kus esimesse gruppi kuuluvad terviklikud programmid ja teise gruppi
majandusinfosüsteemid. Käesolevas bakalaureusetöös on välja toodud valikukriteeriumid
majandustarkvarade võrdlemiseks.
Analüüsist selgus, et majandustarkvarad ei erine oluliselt teineteisest valikukriteeriumite
alusel. Tarkvarasid saab jaotada ettevõtte spetsiifika järgi. Spetsiifika seisneb selles, et osa
ettevõtteid vajab oma töös e-arvete funktsiooni, teised laoarvestuses mitme lao lisamise 
võimalust jne.
Jaekaubanduse puhul on ettevõtetel sisuliselt samad tarkvaralised vajadused, nagu näiteks
finantsarvestuse-, laoarvestuse- ja kassasüsteemi olemasolu. Ettevõtte tarkvara
üldvajadustele järgnevad erivajadused, nagu näiteks finantsarvestuse mooduli jagunemine
spetsiifilisemaks. Spetsiifilisemaks osadeks on näiteks maksudeklaratsioonide koostamine
ja eksport, arvete saatmisvõimalus meiliga, e-arvete valmidus jne.
Tarkvara valikut tehes tuleb määrata ettevõtte spetsiifikast tulenevad vajadused.
Alustuseks tuleb fikseerida valikukriteeriumid ja seejärel kohandada kriteeriumid
vastavalt tarkvarale."
"Majapidamiste võla suurust ja teenindamisvõimet iseloomustavad näitajad Eestis aastatel 2007-2011","1. Bakalaureusetööd","2013","Bakalaureusetöö uurib majapidamiste võla suurust ja teenindamisvõimet iseloomustavaid näitajaid Eestis aastatel 2007-2011. Vaatluse all olev ajavahemik hõlmab järsu majanduslanguse perioodi kui ka taastumist ja tõusu. Teooria osas toob autor ülevaate majanduskasvu mõistest ja olemusest, selgitab laenamise mõistet ja olemust ühiskonnas, tutvustab tarbimisteooriaid ning selgitab tegureid, mis võivad mõjutada inimeste tarbimiskäitumist ja laenamist. Majapidamiste võla suurust uuritakse näitajate põhjal nagu võlgnevus, finantsvõimendus, võlateenindamine ja heaolu. Laenu liikidest keskenduti peamiselt eluaseme- ja tarbimislaenudele. Aastatel 2008-2009 peamiseks tunnuseks oli SKP langus, millega kaasnesid hiljem sissetulekute ja eratarbimise vähenemine. Nõudluse languse tagajärjel vähenesid investeeringud. Samas kodumajapidamiste kasutatav tulu oli nendel aastatel suurem tarbimiskulutustest ning suudeti rohkem säästa. 2010. aastal hakkas majandus taastuma ning 2011. aastal olid paljud majandusnäitajad kasvanud. Laenumaht aastatel 2007-2011 oli keskmiselt 7,2 miljardit eurot. Võlgnevust hindas autor võla ja SKP ning võla ja kasuta-tava tulu suhte dünaamika alusel. Võlakoormus on küll langustrendil, kuid selle jätkuvalt kõrge tase piirab endiselt laenuvõtmise soove. Võrreldes Ungari, Poola, Slovakkia Leeduga ja Lätiga on Eesti võlakoormuse taseme poolest esimene, kuid võlakoormuse kasvu poolest eelviimasel kohal. Tegelikult vaatamata raskele perioodile majanduses, palkade langemisele ja suurele tööpuudusele on finantskriis endaga kaasa toonud majapidamiste finantsvarade kasvu, viie aastaga on kasvanud 1,7 korda ehk 8,7 miljardi eurolt 14,9 miljardi euroni. Majapidamiste eluasemelaenu suhe kinnisvara väärtusesse on analüüsitaval perioodil üsnagi kõrge. Kuna laenukasvuga paralleelselt ei kerki kinnisvarahinnad, siis finantsvõimendus oli ebastabiilne. Majapidamiste võlateenindamist leevendavad madalad baasintressid. Bakalaureusetöös ilmnesid mitmed asjaolud, kogu analüüsitava perioodi vältel ei olnud laenukasv kooskõlas makromajandusliku arenguga. Kui Eesti majanduslik seis oli 2011. aastaks paranenud, kus
ilmnesid makromajandusnäitajate positiivsed kasvutempod, siis 2011. aastal oli laenukasv jätkuvalt negatiivne. Majanduslanguse perioodil vähenes oluliselt laenunõudlus, mida võib seletada suurenenud ebakindlus ja vähenenud sissetulekud. Uurimustöö tulemused näitavad, et hoolimata majandustõusust on majapidamised siiski ettevaatlikumad laenude võtmisel."
"Juure- ja tüvemädanike kahjustused 41-80 aastastes hariliku kuuse (Picea abies (L.) Karst.) puistutes","2. Magistritööd","2019","Magistritöö olulisimaks eesmärgiks oli uurida hariliku kuuse enamusega puistutes juure- ja
tüvemädanike esinemist vanusevahemikes 41-60 ja 61-80 aastat, analüüsida juuremädanike
levikut harvendamata ja harvendatud puistutes ning välja selgitada teiste juuremädanike
tekitavate seente liigiline koosseis kasutades uue põlvkonna DNA sekveneerimist.
Juurdekasvuproovid (N=756) koguti 2016. ja 2017. aastal 63 proovialalt elusatelt hariliku
kuuse puudelt. Juurdekasvuproovidelt hinnati visuaalselt mädaniku olemasolu (perifeerne,
tsentraalne ja tumenemine). Kogutud juurdekasvuproovidest (N=756) analüüsiti 252
puiduproovi Eesti Maaülikooli metsapatoloogia ja -geneetika laboris liigispetsiifiste DNA
praimeritega juurepessu (Heterobasidion spp.), külmaseene (Armillaria spp.) ja verev
nahkise (Stereum sanguinolentum) olemasolu tuvastamiseks ning 504 hariliku kuuse
juurdekasvuproovi analüüsiti uue põlvkonna sekveneerimise (NGS) meetodil, et tuvastada
lisaks juurepessu, külmaseene ja verev nahkise esinemisele ka teiste olulisemate seente
esinemist puiduproovides.
756 analüüsitavast hariliku kuuse juurdekasvuproovist olid juurepessu nakkusega 241
proovi, mis moodustab 31,9% uuritud proovide arvust. Vähesel määral tuvastati ka
külmaseene (1,6%) ja verev nahkise (4,5%) esinemist.
Harvendusraiete mõju hindamisel juurepessu osakaalule selgus, et harvendamata (33%) ja
harvendatud (31%) puistute vahel ei esine statistilist olulist erinevust (p>0,16). Samuti ei
ole juurepessu kahjustusel statistiliselt olulist erinevust (p=0,44) nooremas (41-60 a.) ja
vanemas (61-80.a) kuuse enamusega puistutes. Analüüsides harvendusraiete teostamise
hulga (harvendamata, 1x harvendatud, 2x harvendatud) mõju juurepessu levikule selgus, et statistiliselt oluline erinevus (p<0,001) esineb vaid nooremas (41-60 a.) vanusevahemikus,
kus juurepessu esinemise osakaal oli madalam kaks korda harvendatud puistutes (8%)
võrreldes üks kord harvendatud (50%) ja harvendamata (27%) puistutega. Juurepessu
esinemisel vanemas (61-80 a.) vanusevahemikus statistilist olulist erinevust (p>0,05)
raiumata ja raiutud variantide vahel ei tuvastatud.
Kasvukohatüübi (sinilille, jänesekapsa ja naadi) ja diameetri koosmõjust juurepessu
osakaalule selgus, et juurepessu poolt on suuremas diameetriklassis (70-80 cm) enam
kahjustatud sinilille (50%), seejärel jänesekapsa (40%) ja naadi (30%) kasvukohatüübi
kuusikud.
Uue põlvkonna sekveneerimisega analüüsiti (N=504) teisi võimalikke mädanikutekitajaid
harilikul kuusel, neid tuvastati koos juurepessu, külmaseene ja verev nahkisega kokku 225
puiduproovist (44,9%). Saadud tulemustest selgus, et enam levinumad mädanikku tekitvad
teised seene perekonnad harvendatud aladel mõlemas vanusevahemikus on Fomitopsis sp.
(9,3%), Hyphodontia sp. (5,8%) ja Onnia sp. (4,2%) ning harvendamata puistutes
Fomitopsis sp. (3,2%), Antrodia sp. (2,2%) ja Ganoderma sp. (1,6%).
Tööst selgus, et 41-80 aastastes kuuse enamusega puistutes ei mõjuta juurepessu esinemist
ainult raie teostamine/mitte teostamine, vaid juurepessu levikule avaldavad olulist
positiivset mõju veel mulla pH, mulla toiteelemendid (kaalium, magneesium, fosfor),
ajalooline maakasutus (endine põllumaa ja põline metsamaa) ning okaspuu- ja lehtpuu
osakaal puistus. Edasistes uuringutes oleks vajalik hinnata ka ilmastiku muutuste mõju
juuremädanike levikule."
"Kliimaaktiivsete indiviidide aktivismi tagamaad ja olemus Eesti  keskkonnaorganisatsioonide liikmete näitel","1. Bakalaureusetööd","2021","Kiiresti muutuva kliima põhjuseks on suures osas inimtegevuse tagajärjel õhku paiskunud 
kasvuhoonegaasid, millega on kaasnenud terve muutuste ahel üle maakera, mis hõlmab 
elurikkuse ja elukvaliteedi langust, ekstreemseid ilmastikuolusid ning ulatuslikke 
majanduskahjusid. Pidades silmas teadlaste ennustatud tagajärgi ning kliimamuutuste 
pakilisust, on tekkinud mitmeid kodanikeorganisatsioone, milles nõutakse valitsuselt 
kiiremat tegutsemist kliimamuutuste vähendamiseks. Bakalaureusetöö eesmärgiks on 
uurida kliimateemadega tegelevate indiviidide käitumisharjumuste tagamaid, nende 
isiklikke eesmärke ning ootuseid valitsuse tegevusele. Eesmärgi saavutamiseks viidi läbi 
14 poolstruktueeritud intervjuud kliimaaktiivsete indiviididega. Tulemuste 
tõlgendamiseks viidi läbi kvalitatiivne sisuanalüüs. Tulemustest ilmnes, et kõik 
intervjueeritavad rakendavad oma elus keskkonnaalaseid käitumisharjumusi. Selgus, et 
aktivimi taga on mitmeid psühholoogilisi tegureid ja emotsioone ning sisemisi 
motivaatoreid nagu individuaalse keskkonnamõju vähendamine ning samaväärselt hea 
kliima ja keskkonna hoidmine tulevaste põlvede jaoks. Aktiivset käitumist süvendab 
asjaolu, et valitsuse poolt ei nähta piisavalt kiiret tegutsemist ning selles osas soovitakse 
näha valitusepoolseid samme, millega kaasneks õhku paiskunud kasvuhoonegaaside 
hulga vähendamine. Tulevikus on käesolevas töös esitatud tulemuste põhjal võimalik 
uurida antud valdkonda veelgi süvenenumalt või viia saadud tulemuste põhjal läbi 
kvantitatiivne uuring, mis võimaldaks mõista põhjuste paikapanevust laiemas kontekstis."
"Ponsse harvesteride mõju metsapinnasele","1. Bakalaureusetööd","2021","Antud bakalaureusetöö koosneb 5st peatükist. Esmalt antakse ülevaade 
masindegradatsioonist, siis näidatakse, mis Ponsse harvestere ning rehve kasutatakse. 
Lõpuks presenteeritakse arvutuste tulemused ning nende analüüsid.
Arvutused paljastasid, et harvesteride erisurve pinnasele võib jõuda isegi saemeeste 
survele lähedale. Need on kõige kergemad harvesterid. Mida raskemaks harvesterid 
lähevad seda suuremat mõju avaldavad nad pinnasele. Rehvi valik on harvesteridel väga 
tähtis. Tulemused näitasid, et 750mm laiusega rehvid avaldasid kõige vähem mõju 
pinnasele.
Tulemusi võrreldakse Sven Holmi tööga, kus ta analüüsis John Deere’i forwarderide mõju
pinnasele. Forwarderid valiti tööst välja nii, et nende mass ühtis harvesteride omaga. 
Võrdluses tuli välja, et lintidega avaldatakse palju vähem mõju pinnasele, kuna kaal on 
jaotatud palju paremini.
Töö autor usub, et antud bakalaureusetöö annab hea ülevaate sellest, kuidas harvesterid 
mõjutavad metsapinnast ning kuidas seda parandada. Kui linte ei saa kasutada, siis õige 
rehvivalik avaldab tunduvalt vähem mõju pinnasele."
